,Zipcode,State,Zipcode Latitude,Zipcode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,10115,Berlin,52.5323,13.3846,Hotel i31,52.53110676192711,13.384270175108345,Hotel
1,10115,Berlin,52.5323,13.3846,Oslo Kaffebar,52.53102915837446,13.386889100074768,Coffee Shop
2,10115,Berlin,52.5323,13.3846,Brasserie La Bonne Franquette,52.53110165668639,13.382489160805864,Brasserie
3,10115,Berlin,52.5323,13.3846,Titanic Chaussee Berlin,52.53221498566308,13.381012498971051,Hotel
4,10115,Berlin,52.5323,13.3846,19grams,52.53303691027667,13.380054366842362,Coffee Shop
5,10115,Berlin,52.5323,13.3846,BeachMitte,52.533821476902716,13.384628154016067,Volleyball Court
6,10115,Berlin,52.5323,13.3846,R/D,52.5302338636797,13.383697271347046,Coffee Shop
7,10115,Berlin,52.5323,13.3846,Nou Tango,52.53200565410527,13.380411242866813,Dance Studio
8,10115,Berlin,52.5323,13.3846,Kunstfabrik Schlot,52.53032503723989,13.385230374697477,Jazz Club
9,10115,Berlin,52.5323,13.3846,Museum für Naturkunde,52.53027102772721,13.379281262570908,Science Museum
10,10115,Berlin,52.5323,13.3846,+84,52.53263948958928,13.379511380072778,Vegetarian / Vegan Restaurant
11,10115,Berlin,52.5323,13.3846,Cô Chu Vietnamese Gourmet,52.53102164669438,13.384754859298212,Vietnamese Restaurant
12,10115,Berlin,52.5323,13.3846,Schnitzelei,52.52856325875209,13.38722770446947,Schnitzel Restaurant
13,10115,Berlin,52.5323,13.3846,Petrarca,52.52914290417412,13.38831603527069,Italian Restaurant
14,10115,Berlin,52.5323,13.3846,Alnatura,52.528486976569134,13.386047279562225,Organic Grocery
15,10115,Berlin,52.5323,13.3846,Gedenkstätte Berliner Mauer,52.534896052519215,13.390139937400818,Historic Site
16,10115,Berlin,52.5323,13.3846,dm-drogerie markt,52.531042768272634,13.38539118954941,Drugstore
17,10115,Berlin,52.5323,13.3846,Café Bondi,52.530319398010086,13.387454917590597,Café
18,10115,Berlin,52.5323,13.3846,Dokumentationszentrum | Documentation Center (Dokumentationszentrum),52.53538550851109,13.389667868614197,History Museum
19,10115,Berlin,52.5323,13.3846,The Barn,52.53057,13.383621,Coffee Shop
20,10115,Berlin,52.5323,13.3846,The Castle,52.53163895030821,13.388372034743451,Beer Bar
21,10115,Berlin,52.5323,13.3846,befine Sports & Spa,52.532833394652,13.381817883558163,Gym / Fitness Center
22,10115,Berlin,52.5323,13.3846,Dorotheenstädtischer Friedhof,52.52874576715398,13.384013459230324,Cemetery
23,10115,Berlin,52.5323,13.3846,Hinterhof Café,52.529266,13.384345,Café
24,10115,Berlin,52.5323,13.3846,Besucherzentrum | Visitor Center (Besucherzentrum),52.53376701989025,13.387484550476074,Tourist Information Center
25,10115,Berlin,52.5323,13.3846,La Femme,52.532357319903646,13.380478620529175,Breakfast Spot
26,10115,Berlin,52.5323,13.3846,Eismieze Berlin,52.53033081480907,13.387170661008692,Ice Cream Shop
27,10115,Berlin,52.5323,13.3846,Smart Deli,52.528094,13.38906,Japanese Restaurant
28,10115,Berlin,52.5323,13.3846,EINS,52.529459790048676,13.388038964477568,German Restaurant
29,10115,Berlin,52.5323,13.3846,Rutz,52.52821656790863,13.38612835688587,Wine Bar
30,10115,Berlin,52.5323,13.3846,miniloft Apartment Hotel,52.52917519973758,13.379860964207067,Hotel
31,10115,Berlin,52.5323,13.3846,Chicago Williams BBQ,52.527112182614786,13.385877087162108,BBQ Joint
32,10115,Berlin,52.5323,13.3846,Takumi NINE Sapporo,52.52905523360627,13.384862681966906,Ramen Restaurant
33,10115,Berlin,52.5323,13.3846,Marral,52.5272141418011,13.388527929782867,Middle Eastern Restaurant
34,10115,Berlin,52.5323,13.3846,Café Schrittfahren,52.535094148926184,13.377506694767185,Café
35,10115,Berlin,52.5323,13.3846,Karaca,52.53172205686423,13.381594054043058,Coffee Shop
36,10115,Berlin,52.5323,13.3846,Ballhaus Berlin,52.532087903414855,13.380344420285835,Nightclub
37,10115,Berlin,52.5323,13.3846,Yarok,52.528189963430435,13.392179058205128,Falafel Restaurant
38,10115,Berlin,52.5323,13.3846,Honigmond,52.52966427770729,13.389631862974639,Hotel
39,10115,Berlin,52.5323,13.3846,Redwood,52.53167011240907,13.394338387116537,Cocktail Bar
40,10115,Berlin,52.5323,13.3846,distrikt COFFEE,52.53158959806963,13.39431876207094,Coffee Shop
41,10115,Berlin,52.5323,13.3846,EDEKA Sapphire,52.5343735,13.3789948,Supermarket
42,10115,Berlin,52.5323,13.3846,Salamat,52.52867507617356,13.39374697328414,Falafel Restaurant
43,10115,Berlin,52.5323,13.3846,Katz Orange,52.53151711600785,13.395215128658876,Restaurant
44,10115,Berlin,52.5323,13.3846,Alpenstueck Bäckerei,52.53010509199262,13.392125957783696,Bakery
45,10115,Berlin,52.5323,13.3846,BrewDog,52.53280111922482,13.395788669586182,Beer Bar
46,10115,Berlin,52.5323,13.3846,Reingold,52.52873766364031,13.387723848486006,Lounge
47,10115,Berlin,52.5323,13.3846,Pantry,52.52661826089827,13.387147178217848,Mediterranean Restaurant
48,10115,Berlin,52.5323,13.3846,Chimosa,52.526652532016676,13.389433356070096,Athletics & Sports
49,10115,Berlin,52.5323,13.3846,Kieser Training,52.527710210603935,13.380897045135498,Gym / Fitness Center
50,10115,Berlin,52.5323,13.3846,XOI,52.52736601556761,13.38789891211866,Vietnamese Restaurant
51,10115,Berlin,52.5323,13.3846,Hackendahl,52.52529508604056,13.387141227722168,Pub
52,10115,Berlin,52.5323,13.3846,Frea,52.52833374807909,13.39393547794316,Vegetarian / Vegan Restaurant
53,10115,Berlin,52.5323,13.3846,Spielplatz Invalidenstraße,52.531164651131846,13.388742462257584,Playground
54,10115,Berlin,52.5323,13.3846,Pascarella,52.53224028238963,13.380982905663293,Trattoria/Osteria
55,10115,Berlin,52.5323,13.3846,Comme des garçons,52.52739488417661,13.392359318257151,Boutique
56,10115,Berlin,52.5323,13.3846,La Vita,52.53584626147725,13.376441968651564,Mediterranean Restaurant
57,10115,Berlin,52.5323,13.3846,Stadtbad Mitte James Simon,52.52937,13.392972,Pool
58,10115,Berlin,52.5323,13.3846,Alt Berlin,52.532182777021156,13.380578071432847,Pub
59,10115,Berlin,52.5323,13.3846,Restaurant Themroc,52.52846856840084,13.393303753311242,French Restaurant
60,10115,Berlin,52.5323,13.3846,Papà Pane di Sorrento,52.532088288499686,13.396228061281452,Italian Restaurant
61,10115,Berlin,52.5323,13.3846,Les Pâtisseries de Sébastien,52.532461994787546,13.396976563017251,Pastry Shop
62,10115,Berlin,52.5323,13.3846,Casalot,52.52472050168859,13.386438043942858,Middle Eastern Restaurant
63,10115,Berlin,52.5323,13.3846,BerlinApotheke Oranienburger Tor,52.52611859228679,13.38759931598854,Pharmacy
64,10115,Berlin,52.5323,13.3846,Dada Falafel,52.52626226522993,13.388199860201825,Falafel Restaurant
65,10115,Berlin,52.5323,13.3846,Lokal,52.52806108043485,13.395047081817829,Modern European Restaurant
66,10115,Berlin,52.5323,13.3846,Vom Einfachen das Gute,52.53243194347814,13.396565263319,Deli / Bodega
67,10115,Berlin,52.5323,13.3846,Bötzow Privat,52.527488,13.392732,Pub
68,10115,Berlin,52.5323,13.3846,Tor189,52.52848,13.39258,Restaurant
69,10115,Berlin,52.5323,13.3846,Mogg,52.526459,13.394053,Sandwich Place
70,10115,Berlin,52.5323,13.3846,noto,52.52882640049615,13.394805957522449,Modern European Restaurant
71,10115,Berlin,52.5323,13.3846,Schwarzwaldstuben,52.527557609750865,13.393103631546245,Swabian Restaurant
72,10115,Berlin,52.5323,13.3846,H Gedenkstätte Berliner Mauer,52.53574979652019,13.390707636443713,Tram Station
73,10115,Berlin,52.5323,13.3846,Good Q Frozen Yogurt & Cafe,52.52725582065041,13.393083641570533,Frozen Yogurt Shop
74,10115,Berlin,52.5323,13.3846,Toca Rouge,52.528344,13.392021,Chinese Restaurant
75,10115,Berlin,52.5323,13.3846,Schokoladen,52.529744,13.397268,Rock Club
76,10115,Berlin,52.5323,13.3846,Restaurant einsunternull,52.52715900713183,13.385980763175267,Restaurant
77,10115,Berlin,52.5323,13.3846,Tommi's Burger Joint,52.53251439253768,13.39757767760063,Burger Joint
78,10115,Berlin,52.5323,13.3846,Süßfein,52.535441544404875,13.397727797762222,Ice Cream Shop
79,10115,Berlin,52.5323,13.3846,Berlin Beer Academy,52.52485552553312,13.386872789091742,Beer Store
80,10115,Berlin,52.5323,13.3846,Friedel Richter,52.52810749527135,13.391611269275485,Restaurant
81,10115,Berlin,52.5323,13.3846,HAY,52.526462041487456,13.393576426261735,Furniture / Home Store
82,10115,Berlin,52.5323,13.3846,Deutsches Theater,52.52396965047738,13.382001224952836,Theater
83,10115,Berlin,52.5323,13.3846,Röststätte Berlin,52.52899604707413,13.397427499294281,Coffee Shop
84,10115,Berlin,52.5323,13.3846,Hotel ULTRA Concept Store,52.529361557168684,13.396968841552734,Furniture / Home Store
85,10115,Berlin,52.5323,13.3846,Villa Elisabeth,52.532920653298135,13.396740223514648,Event Space
86,10115,Berlin,52.5323,13.3846,Becycle,52.53347944059547,13.398609971892046,Cycle Studio
87,10115,Berlin,52.5323,13.3846,Chelany,52.52759924833187,13.388777375221252,Indian Restaurant
88,10115,Berlin,52.5323,13.3846,Sammlung Boros,52.523351703701536,13.38421304897798,Art Gallery
89,10115,Berlin,52.5323,13.3846,Wiener Brot Holzofenbäckerei,52.526098226243356,13.393447769391603,Bakery
90,10115,Berlin,52.5323,13.3846,Factory Kitchen,52.53744922779283,13.39471407352591,Restaurant
91,10115,Berlin,52.5323,13.3846,Melody Nelson Bar,52.528094897868904,13.38884238775044,Bar
92,10115,Berlin,52.5323,13.3846,3 Minutes Sur Mer,52.52906253999662,13.395637959311607,French Restaurant
93,10115,Berlin,52.5323,13.3846,La Galleria Italiana,52.528474788681244,13.393466745804522,Italian Restaurant
94,10115,Berlin,52.5323,13.3846,Du Bonheur,52.536310436823385,13.397557898347719,Pastry Shop
95,10115,Berlin,52.5323,13.3846,Hamburger Bahnhof – Museum für Gegenwart,52.52811924345585,13.37257554066581,Art Museum
96,10115,Berlin,52.5323,13.3846,Zenkichi,52.52447181881935,13.389098274646114,Japanese Restaurant
97,10115,Berlin,52.5323,13.3846,Pauly Saal,52.52653676822033,13.394451194107132,Seafood Restaurant
98,10115,Berlin,52.5323,13.3846,Buck & Breck,52.532108,13.399026,Cocktail Bar
99,10115,Berlin,52.5323,13.3846,dm-drogerie markt,52.533854255756,13.379365453125502,Drugstore
100,10117,Berlin,52.516999999999996,13.3872,Dussmann English Bookshop,52.518222843680675,13.389239378375944,Bookstore
101,10117,Berlin,52.516999999999996,13.3872,Dussmann das KulturKaufhaus,52.51839819531867,13.388788104057312,Bookstore
102,10117,Berlin,52.516999999999996,13.3872,Windhorst,52.51855306339908,13.386269840737189,Cocktail Bar
103,10117,Berlin,52.516999999999996,13.3872,Cookies Cream,52.51656861215425,13.388007784206705,Vegetarian / Vegan Restaurant
104,10117,Berlin,52.516999999999996,13.3872,COS,52.51569793249014,13.389297709602715,Clothing Store
105,10117,Berlin,52.516999999999996,13.3872,Komische Oper,52.51596828902978,13.38670069725068,Opera House
106,10117,Berlin,52.516999999999996,13.3872,NIVEA Haus Berlin,52.51718712925783,13.387929797172546,Cosmetics Shop
107,10117,Berlin,52.516999999999996,13.3872,Flamingo Fresh Food Bar,52.51968887172567,13.38540212578958,Sandwich Place
108,10117,Berlin,52.516999999999996,13.3872,Freundschaft,52.51829373810599,13.39034378528595,Wine Bar
109,10117,Berlin,52.516999999999996,13.3872,Lafayette Gourmet,52.51438464756296,13.389569085434193,Gourmet Shop
110,10117,Berlin,52.516999999999996,13.3872,Regent Berlin,52.51537487444737,13.390936801352405,Hotel
111,10117,Berlin,52.516999999999996,13.3872,Crackers,52.51649507652091,13.388117551803589,Restaurant
112,10117,Berlin,52.516999999999996,13.3872,Ritter Sport Bunte Schokowelt,52.51490646289965,13.390378033623746,Chocolate Shop
113,10117,Berlin,52.516999999999996,13.3872,DRIVE Volkswagen Group Forum,52.516653727429,13.389072847785428,Exhibit
114,10117,Berlin,52.516999999999996,13.3872,Ishin,52.51798579625111,13.386713577457856,Sushi Restaurant
115,10117,Berlin,52.516999999999996,13.3872,LUSH,52.51964161972643,13.38835156449952,Cosmetics Shop
116,10117,Berlin,52.516999999999996,13.3872,& other stories,52.51640234054238,13.389152740648997,Clothing Store
117,10117,Berlin,52.516999999999996,13.3872,Bocca di Bacco,52.51505510874291,13.389163806524046,Italian Restaurant
118,10117,Berlin,52.516999999999996,13.3872,Café Einstein,52.51695347951779,13.385809744061921,Café
119,10117,Berlin,52.516999999999996,13.3872,The Westin Grand Berlin,52.5157751854713,13.388444939610054,Hotel
120,10117,Berlin,52.516999999999996,13.3872,AMPELMANN Flagship Store Unter den Linden,52.516726006341436,13.388661265724483,Souvenir Shop
121,10117,Berlin,52.516999999999996,13.3872,Tränenpalast,52.52085424559891,13.387162011117056,Historic Site
122,10117,Berlin,52.516999999999996,13.3872,Swing Kitchen,52.51989009321018,13.3893496304972,Vegetarian / Vegan Restaurant
123,10117,Berlin,52.516999999999996,13.3872,The Digital Eatery,52.516881018727545,13.39053134649409,Coffee Shop
124,10117,Berlin,52.516999999999996,13.3872,Bebelplatz,52.51653012045096,13.393846660247611,Plaza
125,10117,Berlin,52.516999999999996,13.3872,Konzerthaus Berlin,52.513652,13.391911,Concert Hall
126,10117,Berlin,52.516999999999996,13.3872,Nö!,52.51331214646562,13.386288285255432,Wine Bar
127,10117,Berlin,52.516999999999996,13.3872,Hotel de Rome,52.516024880809326,13.393938200455462,Hotel
128,10117,Berlin,52.516999999999996,13.3872,Butter Lindner,52.51787932321359,13.380449533542258,Gourmet Shop
129,10117,Berlin,52.516999999999996,13.3872,Hotel Eurostars Berlin,52.5205114,13.38959916,Hotel
130,10117,Berlin,52.516999999999996,13.3872,dm-drogerie markt,52.520461,13.388561,Drugstore
131,10117,Berlin,52.516999999999996,13.3872,Café Ursprung,52.51828937830739,13.389474019724089,Café
